"Gene.name"	"Wormbase.ID"	"Transcript.name"	"Chromosome"	"Strand"	"Relative.loc.chromosome"	"GermlineExpression"	"Total.value.of.PATC.algorithm"	"PATC.density"	"Bin.size"	"Bases.with.PATC.55"	"Frequency.of.PATCs.55"	"stoekius_oocyte_rpkm"	"spermatogenic_gonad_fem.3_RPKM_Ortiz_2014"	"Gene.expression__Ortiz_2014"
"C01B9.4"	"WBGene00194890"	"C01B9.4"	"II"	"-"	0.901698271158312	NA	198250	15	13060	1255	0.0960949464012251	NA	NA	NA
"dsb-2"	"WBGene00194892"	"F26H11.6"	"II"	"+"	0.943207010265638	NA	12120	12	1030	114	0.110679611650485	NA	47.9781	"Gender Neutral"
"T05B4.14"	"WBGene00194894"	"T05B4.14"	"V"	"-"	0.196390921890368	NA	10470	9	1196	32	0.0267558528428094	NA	92.0741	"Spermatogenic"
"ZK105.11"	"WBGene00194895"	"ZK105.11"	"V"	"-"	0.368372070016603	NA	12956	9	1484	0	0	NA	NA	NA
"W02H5.11"	"WBGene00194896"	"W02H5.11"	"V"	"-"	0.126064318888482	NA	16557	12	1350	64	0.0474074074074074	NA	NA	NA
"C17B7.14"	"WBGene00194898"	"C17B7.14"	"V"	"-"	0.158689898481087	NA	1121	6	190	0	0	NA	NA	NA
"Y39H10B.3.1"	"WBGene00194902"	"Y39H10B.3.1"	"V"	"+"	0.175466350413732	NA	19988	17	1172	32	0.0273037542662116	NA	NA	NA
"W02H5.12"	"WBGene00194904"	"W02H5.12"	"V"	"-"	0.125519016754778	NA	2388	6	434	0	0	NA	NA	NA
"Y53F4B.51"	"WBGene00194905"	"Y53F4B.51"	"II"	"-"	0.982619956606994	NA	17387	21	827	151	0.182587666263603	NA	NA	NA
"Y53C12A.11"	"WBGene00194906"	"Y53C12A.11"	"II"	"-"	0.636027536645531	NA	3404	5	716	0	0	NA	NA	NA
"E02H4.8"	"WBGene00194907"	"E02H4.8"	"X"	"-"	0.804968349690405	NA	4977	7	759	0	0	NA	NA	NA
"F22F7.8"	"WBGene00194908"	"F22F7.8"	"V"	"-"	0.101381511724713	NA	20670	40	521	168	0.322456813819578	NA	7.71523	"Gender Neutral"
"F41E6.17"	"WBGene00194909"	"F41E6.17"	"V"	"+"	0.412224015469184	NA	52046	22	2326	287	0.123387790197764	NA	NA	NA
"ZC404.15"	"WBGene00194910"	"ZC404.15"	"V"	"+"	0.324118436182445	NA	32184	13	2456	102	0.0415309446254072	NA	NA	NA
"ZK856.18"	"WBGene00194912"	"ZK856.18"	"V"	"-"	0.486774535489563	NA	12416	10	1239	22	0.0177562550443906	NA	113.082	"Spermatogenic"
"Y105C5A.1272"	"WBGene00194913"	"Y105C5A.1272"	"IV"	"+"	0.894438375955315	NA	1066	4	278	0	0	NA	NA	NA
"F44D12.16"	"WBGene00194914"	"F44D12.16"	"IV"	"+"	0.573329000757924	NA	190	2	106	0	0	NA	NA	NA
"JC8.16"	"WBGene00194915"	"JC8.16"	"IV"	"+"	0.75800295064048	NA	38147	16	2386	221	0.0926236378876781	NA	NA	NA
"F35D2.6"	"WBGene00194916"	"F35D2.6"	"II"	"+"	0.496025569293496	NA	35571	14	2490	144	0.0578313253012048	NA	NA	NA
"Y45F10B.59"	"WBGene00194917"	"Y45F10B.59"	"IV"	"+"	0.777586713577685	NA	13121	22	591	63	0.106598984771574	NA	NA	NA
"K08D8.9"	"WBGene00194918"	"K08D8.9"	"IV"	"+"	0.737394912228764	NA	1994	7	306	0	0	NA	NA	NA
"K08D8.10"	"WBGene00194919"	"K08D8.10"	"IV"	"+"	0.737444729795861	NA	2926	9	324	0	0	NA	NA	NA
"H12I19.115"	"WBGene00194920"	"H12I19.115"	"IV"	"-"	0.807579975773171	NA	8043	21	379	0	0	NA	NA	NA
"ZK742.7.1"	"WBGene00194921"	"ZK742.7.1"	"V"	"+"	0.372748633399254	NA	26405	12	2149	123	0.0572359236854351	NA	NA	NA
"F13E9.19"	"WBGene00194922"	"F13E9.19"	"IV"	"+"	0.623046732650696	NA	220	2	135	0	0	NA	NA	NA
"Y51H4A.936"	"WBGene00194924"	"Y51H4A.936"	"IV"	"+"	0.950592406042153	NA	2124	9	247	0	0	NA	NA	NA
"K08D8.11"	"WBGene00194925"	"K08D8.11"	"IV"	"+"	0.737136964126036	NA	120	1	105	0	0	NA	NA	NA
"K08D8.12b"	"WBGene00194926"	"K08D8.12b"	"IV"	"+"	0.737068482834718	NA	13648	14	952	74	0.0777310924369748	NA	NA	NA
"Y51H4A.937"	"WBGene00194927"	"Y51H4A.937"	"IV"	"+"	0.94483471857419	NA	2152	12	187	0	0	NA	NA	NA
"ZC513.14"	"WBGene00194928"	"ZC513.14"	"V"	"-"	0.384038562084631	NA	12005	17	715	91	0.127272727272727	NA	NA	NA
"Y105C5B.1413"	"WBGene00194929"	"Y105C5B.1413"	"IV"	"-"	0.925148462352067	NA	5105	11	465	0	0	NA	NA	NA
"Y73F8A.1159"	"WBGene00194930"	"Y73F8A.1159"	"IV"	"-"	0.879793926189629	NA	140	1	126	0	0	NA	NA	NA
"Y105C5A.1273"	"WBGene00194931"	"Y105C5A.1273"	"IV"	"+"	0.90267513761567	NA	5087	26	198	51	0.257575757575758	NA	NA	NA
"T12A7.10"	"WBGene00194933"	"T12A7.10"	"IV"	"-"	0.671948576838152	NA	628	2	261	0	0	NA	NA	NA
"ZK809.9a"	"WBGene00194934"	"ZK809.9a"	"IV"	"+"	0.66690085400972	NA	30484	12	2583	102	0.0394889663182346	NA	NA	NA
"M02G9.4a"	"WBGene00194935"	"M02G9.4a"	"II"	"+"	0.675251176075324	NA	3116	11	276	0	0	NA	580.323	"Spermatogenic"
"C34C6.9"	"WBGene00194940"	"C34C6.9"	"II"	"+"	0.568493465819156	NA	6245	27	234	60	0.256410256410256	NA	NA	NA
"Y10G11A.90"	"WBGene00194949"	"Y10G11A.90"	"IV"	"+"	0.938460470832315	NA	2279	26	87	0	0	NA	71.5093	"Gender Neutral"
"Y105C5A.1274"	"WBGene00194951"	"Y105C5A.1274"	"IV"	"+"	0.893734184780244	NA	240	1	189	0	0	NA	NA	NA
"ZK666.14"	"WBGene00194952"	"ZK666.14"	"II"	"+"	0.686887219090304	NA	4043	5	747	0	0	NA	NA	NA
"F37H8.6.1"	"WBGene00194955"	"F37H8.6.1"	"II"	"-"	0.731475132467389	NA	3507	31	113	0	0	NA	NA	NA
"F37H8.7"	"WBGene00194956"	"F37H8.7"	"II"	"+"	0.731447317277271	NA	822	4	228	0	0	NA	NA	NA
"Y116A8C.465"	"WBGene00194957"	"Y116A8C.465"	"IV"	"+"	0.975519510337045	NA	7100	19	380	89	0.234210526315789	NA	31.4019	"Spermatogenic"
"Y49E10.30"	"WBGene00194981"	"Y49E10.30"	"III"	"+"	0.898686001052975	NA	16131	20	825	150	0.181818181818182	NA	NA	NA
"Y17D7B.10"	"WBGene00194982"	"Y17D7B.10"	"V"	"+"	0.897734558773629	NA	26364	29	904	269	0.297566371681416	NA	NA	NA
"T25B2.4"	"WBGene00194983"	"T25B2.4"	"X"	"+"	0.348694098101343	NA	4145	14	304	0	0	NA	NA	NA
"Y25C1A.14"	"WBGene00194985"	"Y25C1A.14"	"II"	"-"	0.202658890019458	NA	2901	5	615	0	0	NA	NA	NA
"T27F7.4"	"WBGene00194986"	"T27F7.4"	"II"	"-"	0.326735679316644	NA	6050	4	1491	0	0	NA	36.957	"Gender Neutral"
"C16C4.18"	"WBGene00194998"	"C16C4.18"	"II"	"-"	0.121788253625579	NA	9242	25	377	62	0.164456233421751	NA	45.0909	"Spermatogenic"
"Y46C8AL.11"	"WBGene00195003"	"Y46C8AL.11"	"IV"	"+"	0.225423690834065	NA	6762	20	344	51	0.148255813953488	NA	NA	NA
"K08D12.8"	"WBGene00195004"	"K08D12.8"	"IV"	"+"	0.0987221551096675	NA	76110	44	1714	302	0.176196032672112	NA	NA	NA
"C35B1.9"	"WBGene00195006"	"C35B1.9"	"IV"	"-"	0.233257024519904	NA	19610	28	697	122	0.175035868005739	NA	NA	NA
"F17E9.16"	"WBGene00195009"	"F17E9.16"	"IV"	"+"	0.477461252193559	NA	4206	7	576	0	0	NA	NA	NA
"Y37E11AL.12"	"WBGene00195010"	"Y37E11AL.12"	"IV"	"-"	0.211595586077811	NA	17328	30	587	130	0.221465076660988	NA	65.8343	"Spermatogenic"
"ZK180.8b"	"WBGene00195011"	"ZK180.8b"	"IV"	"-"	0.257891597088322	NA	190	1	144	0	0	NA	NA	NA
"Y38C1BA.4"	"WBGene00195012"	"Y38C1BA.4"	"IV"	"+"	0.104157443176105	NA	1810	4	508	0	0	NA	NA	NA
"W05F2.8"	"WBGene00195045"	"W05F2.8"	"I"	"+"	0.223113632476347	NA	60265	61	994	456	0.458752515090543	NA	15.9907	"Gender Neutral"
"F42A9.11"	"WBGene00195046"	"F42A9.11"	"IV"	"+"	0.493186368747517	NA	500	3	196	0	0	NA	NA	NA
"K08D10.13"	"WBGene00195048"	"K08D10.13"	"IV"	"-"	0.238436793911727	NA	27143	34	794	339	0.426952141057934	NA	NA	NA
"CC8.3"	"WBGene00195049"	"CC8.3"	"IV"	"-"	0.208179209937401	NA	91776	104	886	505	0.569977426636569	NA	NA	NA
"T22D1.17a"	"WBGene00195050"	"T22D1.17a"	"IV"	"+"	0.394769206901474	NA	4228	14	311	22	0.0707395498392283	NA	NA	NA
"T22D1.18"	"WBGene00195051"	"T22D1.18"	"IV"	"-"	0.395565259040774	NA	400	2	207	0	0	NA	NA	NA
"C45E1.5"	"WBGene00195056"	"C45E1.5"	"I"	"-"	0.206347561382588	NA	15654	15	1025	31	0.0302439024390244	NA	NA	NA
"B0261.9"	"WBGene00195057"	"B0261.9"	"I"	"+"	0.349574660602262	NA	26067	25	1045	176	0.168421052631579	NA	NA	NA
"C54E10.7"	"WBGene00195058"	"C54E10.7"	"V"	"+"	0.899401434130274	NA	15190	44	346	107	0.309248554913295	NA	NA	NA
"C54E10.8"	"WBGene00195059"	"C54E10.8"	"V"	"+"	0.899514628530246	NA	308367	84	3681	2021	0.549035588155393	NA	NA	NA
"ZK228.13"	"WBGene00195061"	"ZK228.13"	"V"	"-"	0.882619247205864	NA	3058	12	254	31	0.122047244094488	NA	NA	NA
"Y38C1AA.14a"	"WBGene00195063"	"Y38C1AA.14a"	"IV"	"+"	0.0118111077912103	NA	347973	130	2687	1134	0.422032005954596	NA	247.495	"Gender Neutral"
"C04C3.9"	"WBGene00195067"	"C04C3.9"	"IV"	"-"	0.195972591249177	NA	22566	56	401	245	0.610972568578554	NA	16.536	"Spermatogenic"
"Y48G8AL.16"	"WBGene00195068"	"Y48G8AL.16"	"I"	"-"	0.0806849776220616	NA	64612	29	2219	486	0.219017575484452	NA	NA	NA
"W03G9.10"	"WBGene00195069"	"W03G9.10"	"I"	"+"	0.330699341592738	NA	6219	11	588	0	0	NA	NA	NA
"C16C8.20"	"WBGene00195070"	"C16C8.20"	"II"	"+"	0.225629524836052	NA	13213	12	1064	41	0.0385338345864662	NA	12.3527	"Gender Neutral"
"C16C8.21"	"WBGene00195071"	"C16C8.21"	"II"	"+"	0.225694579657174	NA	5680	11	534	0	0	NA	3.03349	"Gender Neutral"
"C16C8.22"	"WBGene00195072"	"C16C8.22"	"II"	"-"	0.22532738642387	NA	7058	9	749	42	0.0560747663551402	NA	46.8659	"Spermatogenic"
"F02E11.7a"	"WBGene00195073"	"F02E11.7a"	"II"	"+"	0.213986249871641	NA	262012	70	3749	1932	0.515337423312883	NA	NA	NA
"T24E12.13"	"WBGene00195077"	"T24E12.13"	"II"	"+"	0.24791286266672	NA	13621	13	1019	99	0.0971540726202159	NA	NA	NA
"C04F6.7"	"WBGene00195081"	"C04F6.7"	"X"	"-"	0.192903758023476	NA	14522	7	2112	22	0.0104166666666667	NA	NA	NA
"C43C3.4"	"WBGene00195084"	"C43C3.4"	"X"	"-"	0.546009011147505	NA	2681	8	327	0	0	NA	NA	NA
"C56E6.9"	"WBGene00195085"	"C56E6.9"	"II"	"+"	0.427914382357813	NA	42863	11	3774	126	0.0333863275039746	NA	20.2682	"Gender Neutral"
"F21C10.13"	"WBGene00195086"	"F21C10.13"	"V"	"+"	0.435992903903522	NA	15013	16	944	103	0.109110169491525	NA	NA	NA
"Y59E9AL.36"	"WBGene00195093"	"Y59E9AL.36"	"IV"	"-"	0.297721499392729	NA	40311	18	2200	215	0.0977272727272727	NA	43.7393	"Gender Neutral"
"M110.10"	"WBGene00195142"	"M110.10"	"II"	"-"	0.537603159177301	NA	3772	13	294	0	0	NA	11.6149	"Gender Neutral"
"C16D2.2"	"WBGene00195143"	"C16D2.2"	"II"	"+"	0.597985879176966	NA	33580	26	1271	195	0.153422501966955	NA	NA	NA
"C16D2.3"	"WBGene00195144"	"C16D2.3"	"II"	"+"	0.598077342066823	NA	2274	7	312	0	0	NA	NA	NA
"ZK666.15.1"	"WBGene00195145"	"ZK666.15.1"	"II"	"+"	0.686385138546807	NA	8548	8	1036	0	0	NA	NA	NA
"F54D5.17"	"WBGene00195146"	"F54D5.17"	"II"	"+"	0.756346461034093	NA	20107	15	1305	91	0.0697318007662835	NA	NA	NA
"F14E5.8"	"WBGene00195147"	"F14E5.8"	"II"	"+"	0.551160086498042	NA	17839	14	1251	32	0.0255795363709033	NA	89.1556	"Spermatogenic"
"W02B12.16"	"WBGene00195148"	"W02B12.16"	"II"	"-"	0.751094331388604	NA	5430	12	453	0	0	NA	NA	NA
"F26H11.8"	"WBGene00195149"	"F26H11.8"	"II"	"+"	0.941702470270307	NA	3771	12	312	31	0.0993589743589744	NA	NA	NA
"Y81G3A.6"	"WBGene00195150"	"Y81G3A.6"	"II"	"-"	0.856186697126809	NA	2104	4	504	0	0	NA	44.9283	"Spermatogenic"
"F13A2.10"	"WBGene00195154"	"F13A2.10"	"V"	"-"	0.209612993197344	NA	6004	10	607	0	0	NA	NA	NA
"W04A8.9"	"WBGene00195155"	"W04A8.9"	"I"	"+"	0.919121821996368	NA	2496	4	649	0	0	NA	NA	NA
"C12D8.21a"	"WBGene00195157"	"C12D8.21a"	"V"	"-"	0.489428044492066	NA	8223	13	616	42	0.0681818181818182	NA	NA	NA
"F26F2.11a"	"WBGene00195158"	"F26F2.11a"	"V"	"-"	0.984295585298922	NA	6168	20	305	55	0.180327868852459	NA	151.17	"Spermatogenic"
"Y47D7A.17"	"WBGene00195160"	"Y47D7A.17"	"V"	"-"	0.210840138060368	NA	2222	13	169	0	0	NA	14.145	"Spermatogenic"
"K12B6.11"	"WBGene00195164"	"K12B6.11"	"V"	"+"	0.300574837341296	NA	7363	14	535	0	0	NA	NA	NA
"F57G4.11"	"WBGene00195165"	"F57G4.11"	"V"	"+"	0.842392031611275	NA	35693	15	2393	156	0.0651901379022148	NA	NA	NA
"W05B10.6"	"WBGene00195166"	"W05B10.6"	"V"	"-"	0.604925497677806	NA	27854	21	1306	145	0.111026033690658	NA	NA	NA
"T13C5.9"	"WBGene00195168"	"T13C5.9"	"X"	"+"	0.349385025358738	NA	6933	8	834	0	0	NA	NA	NA
"Y50D4A.6"	"WBGene00195169"	"Y50D4A.6"	"V"	"-"	0.0572748370545465	NA	33576	31	1093	281	0.257090576395242	NA	78.5607	"Spermatogenic"
"T09D3.9"	"WBGene00195171"	"T09D3.9"	"V"	"-"	0.256540853691758	NA	27275	15	1788	70	0.0391498881431767	NA	NA	NA
"K08E5.6"	"WBGene00195174"	"K08E5.6"	"III"	"+"	0.735735375169737	NA	680	2	397	0	0	NA	NA	NA
"Y43F8B.24"	"WBGene00195176"	"Y43F8B.24"	"V"	"+"	0.929935055997415	NA	16187	14	1134	51	0.044973544973545	NA	NA	NA
"Y43F8B.25"	"WBGene00195177"	"Y43F8B.25"	"V"	"+"	0.93018390684844	NA	9087	15	610	52	0.0852459016393443	NA	NA	NA
"ZC581.10"	"WBGene00195178"	"ZC581.10"	"I"	"-"	0.44074337960279	NA	6960	11	659	0	0	NA	177.269	"Spermatogenic"
"F48C1.11"	"WBGene00195179"	"F48C1.11"	"I"	"-"	0.353914636481407	NA	6801	7	1004	0	0	NA	NA	NA
"C41D11.10"	"WBGene00195180"	"C41D11.10"	"I"	"+"	0.293749834963616	NA	12258	13	968	0	0	NA	NA	NA
"F15H10.12"	"WBGene00195181"	"F15H10.12"	"V"	"-"	0.497507046871132	NA	826	3	258	0	0	NA	NA	NA
"C17G10.10"	"WBGene00195182"	"C17G10.10"	"II"	"-"	0.366434925773693	NA	23061	25	922	142	0.154013015184382	NA	NA	NA
"R04A9.9.1"	"WBGene00195183"	"R04A9.9.1"	"X"	"-"	0.0220126009780945	NA	16887	20	825	51	0.0618181818181818	NA	2.9074	"Spermatogenic"
"F19G12.8"	"WBGene00195184"	"F19G12.8"	"X"	"+"	0.0800422226112597	NA	27162	31	873	212	0.242840778923253	NA	NA	NA
"F19G12.9"	"WBGene00195185"	"F19G12.9"	"X"	"+"	0.0801346096172108	NA	12082	43	279	82	0.293906810035842	NA	NA	NA
"F19G12.10"	"WBGene00195186"	"F19G12.10"	"X"	"+"	0.0801914696712704	NA	3092	15	212	0	0	NA	NA	NA
"F19G12.11"	"WBGene00195188"	"F19G12.11"	"X"	"-"	0.0805020694802207	NA	2432	13	189	31	0.164021164021164	NA	NA	NA
"ZC449.8"	"WBGene00195189"	"ZC449.8"	"X"	"+"	0.283140353413878	NA	25231	18	1426	141	0.0988779803646564	NA	19.9401	"Spermatogenic"
"T04A6.5"	"WBGene00195190"	"T04A6.5"	"III"	"+"	0.551663507039894	NA	1208	6	189	0	0	NA	NA	NA
"C54F6.16.1"	"WBGene00195192"	"C54F6.16.1"	"V"	"+"	0.3608711548075	NA	7396	10	725	0	0	NA	NA	NA
"W02H3.3"	"WBGene00195208"	"W02H3.3"	"X"	"-"	0.626314426674008	NA	21726	20	1075	31	0.0288372093023256	NA	NA	NA
"C07B5.8"	"WBGene00195209"	"C07B5.8"	"X"	"-"	0.538227282419007	NA	230	2	105	0	0	NA	NA	NA
"Y7A5A.13"	"WBGene00195210"	"Y7A5A.13"	"X"	"+"	0.890234953080156	NA	3366	10	328	0	0	NA	NA	NA
"C34F6.12"	"WBGene00195211"	"C34F6.12"	"X"	"-"	0.633585007502141	NA	3569	9	401	0	0	NA	NA	NA
"F09B12.7"	"WBGene00195212"	"F09B12.7"	"X"	"-"	0.851874000151928	NA	39521	31	1287	293	0.227661227661228	NA	NA	NA
"F11C1.9"	"WBGene00195213"	"F11C1.9"	"X"	"-"	0.732402504619068	NA	3772	12	308	0	0	NA	NA	NA
"F11C1.10"	"WBGene00195214"	"F11C1.10"	"X"	"+"	0.732406709159046	NA	6707	9	761	0	0	NA	NA	NA
"F55G7.5"	"WBGene00195215"	"F55G7.5"	"X"	"-"	0.673772931815003	NA	10594	15	714	117	0.163865546218487	NA	NA	NA
"ZC404.16"	"WBGene00195226"	"ZC404.16"	"V"	"-"	0.323679996061972	NA	7529	13	597	0	0	NA	NA	NA
"Y71A12B.23"	"WBGene00195227"	"Y71A12B.23"	"I"	"-"	0.924094442874986	NA	16197	22	722	178	0.246537396121884	NA	61.743	"Spermatogenic"
"Y71A12B.24"	"WBGene00195228"	"Y71A12B.24"	"I"	"-"	0.924025907162705	NA	4452	10	458	0	0	NA	NA	NA
"Y71A12B.25"	"WBGene00195229"	"Y71A12B.25"	"I"	"-"	0.923766659054536	NA	4566	6	703	0	0	NA	NA	NA
"F36D1.13"	"WBGene00195230"	"F36D1.13"	"I"	"-"	0.747380018383229	NA	710	2	303	0	0	NA	NA	NA
"F36D1.14"	"WBGene00195231"	"F36D1.14"	"I"	"+"	0.747408547285727	NA	710	2	303	0	0	NA	NA	NA
"F36D1.15"	"WBGene00195232"	"F36D1.15"	"I"	"+"	0.747642252074217	NA	2983	9	340	20	0.0588235294117647	NA	NA	NA
"ZK1127.13"	"WBGene00195239"	"ZK1127.13"	"II"	"+"	0.461629763326765	NA	1420	3	432	0	0	NA	NA	NA
"Y39B6A.69"	"WBGene00195240"	"Y39B6A.69"	"V"	"-"	0.915321580104931	NA	1084	7	150	0	0	NA	NA	NA
"Y113G7B.27a"	"WBGene00195241"	"Y113G7B.27a"	"V"	"+"	0.965055285320619	NA	8162	21	388	52	0.134020618556701	NA	NA	NA
"Y113G7B.28"	"WBGene00195242"	"Y113G7B.28"	"V"	"+"	0.965208720246146	NA	1400	5	306	0	0	NA	NA	NA
"F46B3.23"	"WBGene00195243"	"F46B3.23"	"V"	"-"	0.984820910544643	NA	3378	12	280	32	0.114285714285714	NA	NA	NA
"F30A10.15"	"WBGene00195244"	"F30A10.15"	"I"	"+"	0.629171837806687	NA	7933	11	733	0	0	NA	NA	NA
"ZK546.19"	"WBGene00195246"	"ZK546.19"	"II"	"+"	0.323444487850685	NA	3215	6	548	0	0	NA	0.589884	"Gender Neutral"
"emc-5"	"WBGene00195248"	"B0334.15"	"II"	"+"	0.752477466260011	NA	37733	37	1022	385	0.376712328767123	NA	NA	NA
"F44E7.12"	"WBGene00195249"	"F44E7.12"	"V"	"-"	0.27673301892834	NA	600	2	244	0	0	NA	NA	NA
"C13C4.8"	"WBGene00195250"	"C13C4.8"	"V"	"+"	0.5791626003982	NA	5396	11	513	31	0.0604288499025341	NA	NA	NA
"F25D1.8"	"WBGene00195256"	"F25D1.8"	"V"	"+"	0.503707648280602	NA	21065	41	512	154	0.30078125	NA	NA	NA
"T26H5.11.1"	"WBGene00202495"	"T26H5.11.1"	"V"	"-"	0.738099892086572	NA	1128	10	114	0	0	NA	NA	NA
"R02F11.9"	"WBGene00202496"	"R02F11.9"	"V"	"+"	0.228821989678926	NA	35457	39	914	313	0.342450765864333	NA	NA	NA
"R02F11.10"	"WBGene00202497"	"R02F11.10"	"V"	"+"	0.228936020431864	NA	29674	13	2352	126	0.0535714285714286	NA	NA	NA
"Y60C6A.2"	"WBGene00202498"	"Y60C6A.2"	"V"	"-"	0.228695413631502	NA	2504	7	339	0	0	NA	NA	NA
"B0507.15"	"WBGene00202499"	"B0507.15"	"V"	"+"	0.418293524525214	NA	5554	8	719	0	0	NA	NA	NA
"K09H11.15"	"WBGene00202500"	"K09H11.15"	"V"	"-"	0.27386103063537	NA	18863	16	1156	52	0.0449826989619377	NA	NA	NA
"Y57E12B.10"	"WBGene00202501"	"Y57E12B.10"	"V"	"-"	0.331468568899713	NA	1915	7	289	0	0	NA	NA	NA
"F41B5.12"	"WBGene00202502"	"F41B5.12"	"V"	"+"	0.108077496943727	NA	10024	12	829	39	0.0470446320868516	NA	NA	NA
"Y32B12B.8"	"WBGene00202504"	"Y32B12B.8"	"V"	"+"	0.790266476392384	NA	3974	10	397	0	0	NA	NA	NA
"F07C3.16"	"WBGene00202511"	"F07C3.16"	"V"	"-"	0.442361899008707	NA	6442	11	565	0	0	NA	NA	NA
"C25E10.16"	"WBGene00202512"	"C25E10.16"	"V"	"-"	0.432944612405361	NA	12592	13	1004	61	0.0607569721115538	NA	NA	NA
"ZK938.10"	"WBGene00202513"	"ZK938.10"	"II"	"-"	0.644695109847422	NA	2186	6	357	0	0	NA	NA	NA
"T09F5.20b"	"WBGene00202514"	"T09F5.20b"	"V"	"-"	0.723881365960339	NA	5052	11	458	0	0	NA	NA	NA
"F27E5.9"	"WBGene00206354"	"F27E5.9"	"II"	"+"	0.663335574037786	NA	2636	4	737	0	0	NA	NA	NA
"C34C6.10"	"WBGene00206355"	"C34C6.10"	"II"	"-"	0.569073952475032	NA	4410	12	373	59	0.158176943699732	NA	2.60284	"Spermatogenic"
"T08B2.15.1"	"WBGene00206356"	"T08B2.15.1"	"I"	"+"	0.412355297094019	NA	8598	14	606	79	0.13036303630363	NA	NA	NA
"C09D4.9"	"WBGene00206357"	"C09D4.9"	"I"	"-"	0.364094843606547	NA	8091	12	701	53	0.0756062767475036	NA	215.598	"Spermatogenic"
"F46E10.18"	"WBGene00206358"	"F46E10.18"	"V"	"+"	0.311684926243227	NA	5770	12	474	0	0	NA	49.8024	"Spermatogenic"
"C05E4.15"	"WBGene00206359"	"C05E4.15"	"V"	"-"	0.0363599433765146	NA	11592	15	794	0	0	NA	NA	NA
"T13C5.10"	"WBGene00206360"	"T13C5.10"	"X"	"+"	0.349275086514759	NA	13943	11	1275	111	0.0870588235294118	NA	NA	NA
"K02G10.15"	"WBGene00206361"	"K02G10.15"	"X"	"-"	0.264228445468132	NA	10642	8	1313	31	0.0236100533130236	NA	NA	NA
"B0041.11.1"	"WBGene00206362"	"B0041.11.1"	"I"	"-"	0.30928448583686	NA	863	4	238	0	0	NA	1.29567	"Oogenic"
"F56H1.10"	"WBGene00206363"	"F56H1.10"	"I"	"+"	0.380821173275663	NA	7814	10	781	0	0	NA	7.59295	"Spermatogenic"
"C07A12.18a"	"WBGene00206364"	"C07A12.18a"	"X"	"-"	0.256605106557717	NA	38061	18	2129	178	0.0836073273837482	NA	NA	NA
"B0563.18"	"WBGene00206365"	"B0563.18"	"X"	"+"	0.517691631927008	NA	1220	4	331	0	0	NA	NA	NA
"C03H5.9"	"WBGene00206366"	"C03H5.9"	"II"	"+"	0.0248377212722917	NA	16392	10	1711	64	0.0374050263004091	NA	NA	NA
"Y39F10C.3"	"WBGene00206368"	"Y39F10C.3"	"II"	"+"	0.0441561561789547	NA	1347	3	465	0	0	NA	79.4106	"Spermatogenic"
"F02D8.9"	"WBGene00206370"	"F02D8.9"	"V"	"-"	0.714742345936615	NA	26571	35	754	192	0.254641909814324	NA	NA	NA
"F28B12.6"	"WBGene00206371"	"F28B12.6"	"II"	"+"	0.388840748612137	NA	3817	8	507	0	0	NA	NA	NA
"B0454.26"	"WBGene00206372"	"B0454.26"	"II"	"-"	0.198762243674024	NA	11066	7	1532	0	0	NA	72.3109	"Spermatogenic"
"C27A2.12"	"WBGene00206373"	"C27A2.12"	"II"	"-"	0.33097919744472	NA	13807	7	1886	51	0.0270413573700954	NA	NA	NA
"K10G6.9"	"WBGene00206374"	"K10G6.9"	"II"	"+"	0.259990839967038	NA	3910	9	452	0	0	NA	NA	NA
"F47E1.17"	"WBGene00206376"	"F47E1.17"	"X"	"+"	0.511858354748269	NA	7947	20	393	62	0.157760814249364	NA	NA	NA
"F44E5.15"	"WBGene00206377"	"F44E5.15"	"II"	"+"	0.770516893277566	NA	7796	6	1292	0	0	NA	NA	NA
"C14E2.11"	"WBGene00206378"	"C14E2.11"	"X"	"+"	0.101768237629538	NA	72458	20	3632	289	0.0795704845814978	NA	NA	NA
"C55B6.7"	"WBGene00206379"	"C55B6.7"	"X"	"-"	0.405876660130159	NA	1137	5	220	0	0	NA	NA	NA
"C42D4.18"	"WBGene00206380"	"C42D4.18"	"IV"	"+"	0.409702101238099	NA	12680	17	756	61	0.0806878306878307	NA	NA	NA
"F52H2.15"	"WBGene00206381"	"F52H2.15"	"X"	"+"	0.144799503266053	NA	2132	4	559	0	0	NA	NA	NA
"F01G12.18"	"WBGene00206382"	"F01G12.18"	"X"	"-"	0.925438042519694	NA	31040	27	1132	264	0.23321554770318	NA	NA	NA
"kvs-2"	"WBGene00206383"	"C32C4.16"	"V"	"+"	0.508883908473355	NA	3140	14	231	0	0	NA	NA	NA
"acly-1"	"WBGene00206384"	"D1005.10"	"X"	"-"	0.083867789623105	NA	3240	12	280	0	0	NA	NA	NA
"T06D4.6"	"WBGene00206385"	"T06D4.6"	"II"	"-"	0.221695115279565	NA	3804	10	394	0	0	NA	NA	NA
"K10C2.12"	"WBGene00206386"	"K10C2.12"	"X"	"-"	0.362349230557897	NA	7444	11	652	31	0.0475460122699387	NA	NA	NA
"K10C2.14"	"WBGene00206388"	"K10C2.14"	"X"	"-"	0.363465634686315	NA	8125	13	624	0	0	NA	NA	NA
